/Users/jettmarkmanalo/Desktop/M-S2C-Framework/.venv/bin/python /Users/jettmarkmanalo/Desktop/M-S2C-Framework/src/generators/layering_mutator.py 
🔍 Found 20 layering components. Generating 50 batches...

--- Processing Batch 01 ---
  ✅ AvatarOverlap             | RANDOM_LAYER_SWAP    | z-50 -> z-[100]
  ✅ VideoPlayerUI             | RANDOM_LAYER_SWAP    | z-20 -> z-[1]
  ✅ FloatingLegalBanner       | POSITION_BREAK       | relative -> static
  ✅ PricingCardHighlight      | Z_INDEX_LOWER        | z-10 -> z-[-10]
  ✅ FloatingActionDisplay     | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ ContextList               | POSITION_BREAK       | absolute -> static
  ✅ StepProgressStack         | POSITION_BREAK       | relative -> absolute
  ✅ LockedContentOverlay      | RANDOM_LAYER_SWAP    | z-0 -> z-[1]
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> static
  ✅ SearchAutocompleteBox     | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ CardBadgeStack            | POSITION_BREAK       | absolute -> static
  ✅ HeroSectionLayer          | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ BreadcrumbOverlay         | RANDOM_LAYER_SWAP    | z-10 -> z-30
  ✅ OverlaySidebar            | POSITION_BREAK       | relative -> absolute
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_15.jsx

--- Processing Batch 16 ---
  ✅ CenterDialogOverlay       | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> static
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | absolute -> relative
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> relative
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> static
  ✅ TooltipDisplay            | POSITION_BREAK       | relative -> absolute
  ✅ AvatarOverlap             | Z_INDEX_LOWER        | z-50 -> z-0
  ✅ VideoPlayerUI             | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ FloatingLegalBanner       | POSITION_BREAK       | absolute -> relative
  ✅ PricingCardHighlight      | Z_INDEX_EXTREME      | z-0 -> z-[999]
  ✅ FloatingActionDisplay     | Z_INDEX_EXTREME      | z-50 -> z-[999]
  ✅ ContextList               | POSITION_BREAK       | relative -> static
  ✅ StepProgressStack         | POSITION_BREAK       | relative -> static
  ✅ LockedContentOverlay      | POSITION_BREAK       | absolute -> static
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> static
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> absolute
  ✅ CardBadgeStack            | POSITION_BREAK       | absolute -> static
  ✅ HeroSectionLayer          | Z_INDEX_LOWER        | z-10 -> z-[-10]
  ✅ BreadcrumbOverlay         | RANDOM_LAYER_SWAP    | z-10 -> z-[-10]
